	Feature	value
4166	in_APPR_>_Grammatiken_NN_>_den_ART	-0.0007631728081838803
2850	für_APPR_>_Literatur_NN_>_die_ART	0.0007630702302413318
6070	ist_VAFIN_>_im_APPRART_>_Vergleich_NN	-0.0007628842087141035
1615	bei_APPR_>_Erstellung_NN_>_der_ART	-0.0007625851546107607
8130	sind_VAFIN_>_Figuren_NN_>_die_ART	0.0007605467249856229
333	Mann_NN_>_und_KON_>_Frau_NN	0.000759825723523261
3910	in_APPR_>_Bereich_NN_>_diesem_PDAT	-0.0007575235477184519
6087	ist_VAFIN_>_in_APPR_>_Fällen_NN	-0.0007521460500807327
318	Leben_NN_>_und_KON_>_Werk_NN	0.0007515463499584372
2925	für_APPR_>_Untersuchung_NN_>_vorliegende_ADJA	-0.0007477864550326558
4663	in_APPR_>_Text_NN_>_den_ART	0.0007461359299917479
8750	spielt_VVFIN_>_Rolle_NN_>_keine_PIAT	-0.0007449440511999299
12334	zu_APPR_>_Zeit_NN_>_dieser_PDAT	0.0007430405671707939
4683	in_APPR_>_Tradition_NN_>_der_ART	0.0007393688432319978
7438	mit_APPR_>_Bedeutung_NN_>_der_ART	-0.0007379515383967096
7327	lässt_VVFIN_>_festhalten_VVINF_>_sich_PRF	-0.0007367865661728106
4289	in_APPR_>_Klassen_NN_>_den_ART	-0.0007346319980812906
9576	und_KON_>_kann_VMFIN_>_werden_VAINF	-0.0007319404679729897
4536	in_APPR_>_Romanen_NN_>_den_ART	0.0007309674863503825
5335	ist_VAFIN_>_Ort_NN_>_der_ART	0.0007287928622512779
7393	mehr_PIS_>_Hälfte_NN_>_als_KOKOM	-0.0007285262697226708
4543	in_APPR_>_Satz_NN_>_einem_ART	-0.0007256587890242721
8269	sind_VAFIN_>_finden_VVINF_>_in_APPR	-0.0007246690264415933
6741	kann_VMFIN_>_ist_VAFIN_>_dass_KOUS	-0.0007243458043226532
4757	in_APPR_>_Weise_NN_>_der_ART	0.000723775061555091
439	Tatsache_NN_>_ist_VAFIN_>_dass_KOUS	-0.0007235810242232064
8	1_CARD_>_und_KON_>_2_CARD	-0.0007224408859721524
7248	leisten_VVINF_>_Beitrag_NN_>_einen_ART	-0.0007187535741898856
9214	und_KON_>_Welt_NN_>_der_ART	0.0007169175362417592
10175	von_APPR_>_Mensch_NN_>_und_KON	0.000714784952855436
8934	stellt_VVFIN_>_in_APPR_>_Frage_NN	0.0007138043216958872
