	Feature	value
706	VAFIN_>_VAFIN_MO_>_NN_SB	-0.003962490696974167
2497	PROAV_>_VAFIN_RE_>_ADJD_PD	-0.003956292755528155
1260	CARD_>_NN_AG_>_ART_NK	-0.003951445265212177
277	NN_>_ADJA_NK_>_APPR_MO	-0.003940343731836559
2388	VAFIN_>_VAFIN_CJ_>_NN_SB	-0.003918958842725613
2315	VVFIN_>_NN_MO_>_KOKOM_CM	0.0038982192974510096
2774	VAFIN_>_ADJD_PD_>_KON_CD	-0.0038948944518073926
492	NN_>_VAFIN_RC_>_NN_SB	-0.0038928455948094402
468	VVINF_>_KON_CD_>_VVINF_CJ	-0.0038910766323168888
1284	NN_>_VVFIN_RC_>_PPER_OA	0.0038899863935166292
315	KON_>_NN_CJ_>_KON_CD	-0.003886507126154326
2974	VVFIN_>_VVINF_MO_>_KOUS_CP	-0.003843403147891211
2634	KON_>_VVFIN_CJ_>_PPER_DA	0.003830486050948649
3252	VVPP_>_VVINF_MO_>_KOUI_CP	-0.00382077205086433
442	VAFIN_>_VVPP_OC_>_PRELS_OA	0.003808348454531034
751	NN_>_VVINF_OC_>_APPR_MO	0.003794868558075571
134	VVFIN_>_NN_SB_>_APPR_MNR	-0.00379219063474575
144	NN_>_ADJA_NK_>_PTKNEG_NG	-0.003791197869552062
747	VVPP_>_APPR_OP_>_NN_NK	-0.003782427486505235
423	VVIZU_>_NN_OA_>_ADJA_NK	-0.003774465411854818
775	VVINF_>_NN_OA_>_CARD_NK	-0.00376111186049911
130	APPR_>_NN_NK_>_APPR_MNR	-0.0037342036553276517
645	KON_>_VVFIN_CJ_>_APPR_OP	0.0037015005991000234
88	VAFIN_>_PPER_SB_>_VVINF_RE	-0.0036983821282746705
1200	VVFIN_>_PRF_OA_>_ADV_MNR	0.0036959271521482175
131	APPR_>_NE_NK_>_KON_CD	0.003685668605579606
935	VMFIN_>_VAFIN_OC_>_VVPP_OC	-0.003682186101835995
171	VVFIN_>_APPR_MO_>_KON_CD	0.0036798359834632807
789	VVPP_>_KON_CD_>_VVPP_CJ	-0.003675313772811637
3254	VVPP_>_VVINF_MO_>_PTKZU_PM	-0.0036671201066849762
1788	VVINF_>_APPR_MO_>_PPER_NK	0.003661238689185051
1124	NE_>_NE_CJ_>_NE_PNC	0.003658826777227322
3232	ADJD_>_APPR_CC_>_KOKOM_CM	-0.0036576959609894467
524	VVFIN_>_NN_SB_>_APPR_PG	-0.0036404824385913074
3101	VVFIN_>_PROAV_MO_>_APZR_AC	0.0036220356120496115
718	VVPP_>_APPR_MO_>_PPER_NK	0.0036190857048848156
824	VVFIN_>_NN_MO_>_CARD_NK	-0.003618668618103466
1621	VAFIN_>_VVFIN_CJ_>_PPER_SB	0.003616690756498698
846	VAFIN_>_VVINF_OC_>_ADJD_MO	-0.0036081191108710813
629	NN_>_VAFIN_OC_>_KOUS_CP	-0.003607059923030181
2705	VAFIN_>_VVIZU_OC_>_ADV_MO	-0.003591218794109821
1412	NN_>_NE_AG_>_KON_CD	0.003579707063657571
79	VAFIN_>_ADJD_PD_>_APPR_MO	-0.0035728577028057793
38	APPR_>_ADJA_NK_>_ART_NK	-0.0035701719408791147
4493	ADJD_>_ADJD_CJ_>_ADJD_CJ	-0.0035347281674376987
1929	NN_>_NN_NK_>_KON_CD	-0.0035308842333586004
619	VMFIN_>_APPRART_MO_>_NN_NK	-0.00352046831774083
3234	ADJD_>_APPR_CC_>_NN_NK	-0.0034947524294858855
538	VMINF_>_VVINF_OC_>_NN_OA	-0.003484267100238394
951	NN_>_NN_APP_>_ADV_MO	-0.0034829287469965086
1521	KON_>_VVFIN_CJ_>_VVINF_OC	0.003481902609785828
1057	VVFIN_>_VAFIN_CJ_>_ADJD_PD	-0.003463315445410257
553	VAFIN_>_NN_PD_>_ADJA_NK	-0.003460946322168006
317	VVFIN_>_APPRART_MO_>_ADV_MO	0.0034473470437875655
3834	PROAV_>_VVINF_RE_>_NN_SB	-0.003445225855800313
223	KON_>_VAFIN_CJ_>_PPER_SB	0.003431300113572179
1587	VVPP_>_VVFIN_MO_>_PPER_SB	0.0034302311426060257
666	VVINF_>_APPR_MO_>_ADV_MO	-0.0034232546100272736
302	VVFIN_>_VVFIN_CJ_>_NN_OA	0.0034219341144582313
320	VVFIN_>_VVFIN_MO_>_PRF_OA	0.003410902424946181
426	VVFIN_>_VVINF_OC_>_APPR_MO	0.0034100958232106604
2717	VAINF_>_VVPP_OC_>_KON_CD	-0.0034039990644283208
758	VAFIN_>_VVFIN_CJ_>_APPR_MO	0.0033938280652831025
157	VVFIN_>_NN_OA_>_ADJA_NK	0.003369804724038958
327	NN_>_NN_APP_>_NN_AG	0.0033640567308295464
485	VMFIN_>_VVFIN_MO_>_NN_OA	-0.0033619916084661637
885	VAFIN_>_VVPP_OC_>_VAFIN_MO	-0.00336111059612566
488	ADJD_>_NN_DA_>_ART_NK	0.003354705011702358
5149	NN_>_NN_PAR_>_CARD_NK	-0.00334968194548469
399	NN_>_NN_CJ_>_PPOSAT_NK	0.003347329426081407
888	ADJD_>_NN_CC_>_KOKOM_CM	-0.0033395383822325863
1561	VAFIN_>_VAPP_OC_>_APPR_MO	0.0033291748428683795
1436	VVFIN_>_VAFIN_OC_>_PPER_SB	0.003320864292143769
77	NN_>_NN_CC_>_NN_CJ	-0.0033141530840496984
267	NN_>_VVPP_RC_>_PRF_OA	0.0033100682303809368
2686	VVPP_>_KON_CD_>_VVFIN_CJ	0.00330710321599667
1113	NE_>_NN_APP_>_ART_NK	0.0032919943629758737
1553	VVFIN_>_VAFIN_CJ_>_PPER_SB	0.0032883644773853207
414	NE_>_APPR_MNR_>_NN_NK	0.0032879518479379697
